Row ID,Tanggal,Tweet ID,User ,Tweet,Web
1069,3/19/2021 4:22,1.37E+18,Reshtu Antaresh,  @thewindancloud: Bismillahirahmanirohiim Makasar saat ini punya Kolam Regulasi Nipa- Nipa yang fungsinya untuk kurangi banjir Makasar,
1070,3/19/2021 4:21,1.37E+18,Alfius Zachawerus,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1071,3/19/2021 4:21,1.37E+18,Antaresh®,  @thewindancloud: Bismillahirahmanirohiim Makasar saat ini punya Kolam Regulasi Nipa- Nipa yang fungsinya untuk kurangi banjir Makasar,
1072,3/19/2021 4:19,1.37E+18,@Haryanto Prsden_RI-one 2044,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1073,3/19/2021 4:19,1.37E+18,Embun Pagi💧💧,  @thewindancloud: Bismillahirahmanirohiim Makasar saat ini punya Kolam Regulasi Nipa-Nipa yang fungsinya untuk kurangi banjir Makasar,
1074,3/19/2021 4:18,1.37E+18,ugie_yahya," Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",https:/ / t.co/ 7h76eOOoeJ
1075,3/19/2021 4:09,1.37E+18,Pārtha - sārathi,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1076,3/19/2021 4:08,1.37E+18,Embun Pagi💧💧, Bismillahirahmanirohiim\nMakasar saat ini punya Kolam Regulasi Nipa-Nipa yang fungsinya untuk kurangi banjir Makasar,https:/ / t.co/ FwmL8DVrdt
1077,3/19/2021 4:08,1.37E+18,🇲🇨Harjoto Prasodjo🇲🇨,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1078,3/19/2021 4:03,1.37E+18,Jagar Hunter,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1079,3/19/2021 4:03,1.37E+18,Devda," Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang bermanfaat untuk Kurangi banjir di Makassar",https:/ / t.co/ tW5bakyD9T
1080,3/19/2021 4:02,1.37E+18,SelaMet All,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1081,3/19/2021 4:00,1.37E+18,Pengensadar 👁🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1082,3/19/2021 3:59,1.37E+18,Budiawan,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1083,3/19/2021 3:57,1.37E+18,allfaithis🇮🇩🆔,"  @MurtadhaOne1: Kolam Regulasi Nipa-Nipa yang diresmikan presiden Jokowi kemaren,  bermanfaat untuk mengurangi potensi banjir di kota Makassar. Bagaimana dengan kota Jakarta?",
1084,3/19/2021 3:56,1.37E+18,Risma Widiono,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1085,3/19/2021 3:55,1.37E+18,Junto,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1086,3/19/2021 3:55,1.37E+18,🄶🄰🅁🄸🅂,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1087,3/19/2021 3:55,1.37E+18,🅿️opKoЯn-2,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1088,3/19/2021 3:55,1.37E+18,Petualang semu,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1089,3/19/2021 3:54,1.37E+18,Santorini☀️,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1090,3/19/2021 3:54,1.37E+18,Arifin,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1091,3/19/2021 3:54,1.37E+18,🇲🇨 P A R A M A R T H A 🇲🇨,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang baru-baru ini diresmikan Presiden Joko Widodo",
1092,3/19/2021 3:53,1.37E+18,Nandito AndSen,"  @EllaZefa: Colek Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang bermanfaat untuk Kurangi banjir di Makassar lho",
1093,3/19/2021 3:53,1.37E+18,fun winter,"  @MurtadhaOne1: Kolam Regulasi Nipa-Nipa yang diresmikan presiden Jokowi kemaren,  bermanfaat untuk mengurangi potensi banjir di kota Makassar. Bagaimana dengan kota Jakarta?",
1094,3/19/2021 3:53,1.37E+18,cocot mania,"  @EllaZefa: Colek Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa yang bermanfaat untuk Kurangi banjir di Makassar lho",
1095,3/19/2021 3:51,1.37E+18,Mas Agus Mas Agus,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1096,3/19/2021 3:51,1.37E+18,Pakar INTELek," Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa-Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",https:/ / t.co/ XjPXitp0q8
1097,3/19/2021 3:50,1.37E+18,MumIggy,"  @MurtadhaOne1: Kolam Regulasi Nipa-Nipa yang diresmikan presiden Jokowi kemaren,  bermanfaat untuk mengurangi potensi banjir di kota Makassar. Bagaimana dengan kota Jakarta?",
1098,3/19/2021 3:50,1.37E+18,kristo,"  @MurtadhaOne1: Kolam Regulasi Nipa-Nipa yang diresmikan presiden Jokowi kemaren,  bermanfaat untuk mengurangi potensi banjir di kota Makassar. Bagaimana dengan kota Jakarta?",
